matter_id,file_no,portal_http,file_match,title_match,type_match,status_match,intro_match,site_page,note
31181,24-1439,200,exact,exact,exact,exact,exact,yes,
34301,26-0718,200,exact,exact,exact,exact,exact,yes,
7444,190788,200,exact,exact,exact,exact,exact,yes,
12607,195887,200,exact,exact,exact,exact,exact,yes,
29008,212236,200,exact,exact,exact,exact,exact,yes,
16055,199343,200,exact,exact,exact,exact,exact,yes,
8948,192255,200,exact,exact,exact,exact,exact,yes,
27599,210843,200,exact,exact,exact,exact,exact,yes,
16046,199275,200,exact,exact,exact,exact,exact,yes,
6288,189614,200,exact,exact,exact,exact,exact,yes,
19202,202481,200,exact,exact,exact,exact,exact,yes,
17830,201195,200,exact,exact,exact,exact,exact,yes,
18375,201657,200,exact,exact,exact,exact,exact,yes,
26500,209781,200,exact,exact,exact,exact,exact,yes,
30521,213912,200,exact,exact,exact,exact,exact,yes,
31930,25-0347,200,exact,exact,exact,exact,exact,yes,
8549,191824,200,exact,exact,exact,exact,exact,yes,
26964,210268,200,exact,exact,exact,exact,exact,yes,
23306,206715,200,exact,exact,exact,exact,exact,yes,
33066,25-1425,200,exact,exact,exact,exact,exact,yes,
15693,199022,200,exact,exact,exact,exact,exact,yes,
23857,207219,200,exact,exact,exact,exact,exact,yes,
16607,199873,200,exact,exact,exact,exact,exact,yes,
28723,212045,200,exact,exact,exact,exact,exact,yes,
17933,201121,200,exact,exact,exact,exact,exact,yes,
9043,192288,200,exact,exact,exact,exact,exact,yes,
21788,205129,200,exact,exact,exact,exact,exact,yes,
10817,194066,200,exact,exact,exact,exact,exact,yes,
27853,211203,200,exact,exact,exact,exact,exact,yes,
7861,191103,200,exact,exact,exact,exact,exact,yes,
23549,206833,200,exact,exact,exact,exact,exact,yes,
26834,210113,200,exact,exact,exact,exact,exact,yes,
19595,202895,200,exact,exact,exact,exact,exact,yes,
6226,189559,200,exact,exact,exact,exact,exact,yes,
26746,209990,200,exact,exact,exact,exact,exact,yes,
28630,211841,200,exact,exact,exact,exact,exact,yes,
3534,23-0967,200,exact,exact,exact,exact,exact,yes,
30860,24-1138,200,exact,exact,exact,exact,exact,yes,
4722,24-0149,200,exact,exact,exact,exact,exact,yes,
8994,192316,200,exact,exact,exact,exact,exact,yes,
18992,202314,200,exact,exact,exact,exact,exact,yes,
8408,191713,200,exact,exact,exact,exact,exact,yes,
26068,209348,200,exact,exact,exact,exact,exact,yes,
28694,211989,200,exact,exact,exact,exact,exact,yes,
20544,203893,200,exact,exact,exact,exact,exact,yes,
14970,198264,200,exact,exact,exact,exact,exact,yes,
24547,207858,200,exact,exact,exact,exact,exact,yes,
11746,195030,200,exact,exact,exact,exact,exact,yes,
19728,202986,200,exact,exact,exact,exact,exact,yes,
20486,203782,200,exact,exact,exact,exact,exact,yes,
31531,24-1764,200,exact,exact,exact,exact,exact,yes,
15346,198621,200,exact,exact,exact,exact,exact,yes,
11008,194991,200,exact,exact,exact,exact,exact,yes,
22388,205680,200,exact,exact,exact,exact,exact,yes,
13246,196439,200,exact,exact,exact,exact,exact,yes,
30748,24-1036,200,exact,exact,exact,exact,exact,yes,
19987,203259,200,exact,exact,exact,exact,exact,yes,
13677,196959,200,exact,exact,exact,exact,exact,yes,
13199,196560,200,exact,exact,exact,exact,exact,yes,
25919,209249,200,exact,exact,exact,exact,exact,yes,
34179,26-0607,200,exact,exact,exact,exact,exact,yes,
3325,23-0788,200,exact,exact,exact,exact,exact,yes,
33767,26-0210,200,exact,exact,exact,exact,exact,yes,
17660,200895,200,exact,exact,exact,exact,exact,yes,
20466,203760,200,exact,exact,exact,exact,exact,yes,
1583,22-0468,200,exact,exact,exact,exact,exact,yes,
4890,24-0304,200,exact,exact,exact,exact,exact,yes,
18102,201381,200,exact,exact,exact,exact,exact,yes,
31723,25-0166,200,exact,exact,exact,exact,exact,yes,
16692,199966,200,exact,exact,exact,exact,exact,yes,
11380,194683,200,exact,exact,exact,exact,exact,yes,
12741,196027,200,exact,exact,exact,exact,exact,yes,
18882,202160,200,exact,exact,exact,exact,exact,yes,
26114,209388,200,exact,exact,exact,exact,exact,yes,
5962,189355,200,exact,exact,exact,exact,exact,yes,
21998,205301,200,exact,exact,exact,exact,exact,yes,
2053,22-1765,200,exact,exact,exact,exact,exact,yes,
15854,199226,200,exact,exact,exact,exact,exact,yes,
21560,204843,200,exact,exact,exact,exact,exact,yes,
14020,197337,200,exact,exact,exact,exact,exact,yes,
33691,26-0139,200,exact,exact,exact,exact,exact,yes,
3481,23-0924,200,exact,exact,exact,exact,exact,yes,
18684,201963,200,exact,exact,exact,exact,exact,yes,
1424,22-1164,200,exact,exact,exact,exact,exact,yes,
9833,193173,200,exact,exact,exact,exact,exact,yes,
21114,204386,200,exact,exact,exact,exact,exact,yes,
29519,212786,200,exact,exact,exact,exact,exact,yes,
26702,209984,200,exact,exact,exact,exact,exact,yes,
22340,205441,200,exact,exact,exact,exact,exact,yes,
28452,211792,200,exact,exact,exact,exact,exact,yes,
18888,202164,200,exact,exact,exact,exact,exact,yes,
19138,202415,200,exact,exact,exact,exact,exact,yes,
25885,209169,200,exact,exact,exact,exact,exact,yes,
20405,203683,200,exact,exact,exact,exact,exact,yes,
14893,198158,200,exact,exact,exact,exact,exact,yes,
19391,202615,200,exact,exact,exact,exact,exact,yes,
14568,197858,200,exact,exact,exact,exact,exact,yes,
19002,202273,200,exact,exact,exact,exact,exact,yes,
21547,204790,200,exact,exact,exact,exact,exact,yes,
30519,213917,200,exact,exact,exact,exact,exact,yes,
22207,205566,200,exact,exact,exact,exact,exact,yes,
25274,208503,200,exact,exact,exact,exact,exact,yes,
4145,23-1512,200,exact,exact,exact,exact,exact,yes,
2693,23-0222,200,exact,exact,exact,exact,exact,yes,
25300,208568,200,exact,exact,exact,exact,exact,yes,
24946,208229,200,exact,exact,exact,exact,exact,yes,
34687,26-1079,200,exact,exact,exact,exact,exact,yes,
24371,207669,200,exact,exact,exact,exact,exact,yes,
9797,193139,200,exact,exact,exact,exact,exact,yes,
12856,196136,200,exact,exact,exact,exact,exact,yes,
17077,200392,200,exact,exact,exact,exact,exact,yes,
22506,205783,200,exact,exact,exact,exact,exact,yes,
18593,201912,200,exact,exact,exact,exact,exact,yes,
25026,208307,200,exact,exact,exact,exact,exact,yes,
25839,209128,200,exact,exact,exact,exact,exact,yes,
23126,206394,200,exact,exact,exact,exact,exact,yes,
18189,201470,200,exact,exact,exact,exact,exact,yes,
9892,193094,200,exact,exact,exact,exact,exact,yes,
31963,25-0378,200,exact,exact,exact,exact,exact,yes,
8228,191494,200,exact,exact,exact,exact,exact,yes,
26909,210175,200,exact,exact,exact,exact,exact,yes,
3660,23-1075,200,exact,exact,exact,exact,exact,yes,
17237,200510,200,exact,exact,exact,exact,exact,yes,
29882,213213,200,exact,exact,exact,exact,exact,yes,
27830,211150,200,exact,exact,exact,exact,exact,yes,
22463,205776,200,exact,exact,exact,exact,exact,yes,
28331,211610,200,exact,exact,exact,exact,exact,yes,
4608,24-0047,200,exact,exact,exact,exact,exact,yes,
19400,202676,200,exact,exact,exact,exact,exact,yes,
16543,199685,200,exact,exact,exact,exact,exact,yes,
31390,24-1631,200,exact,exact,exact,exact,exact,yes,
21749,204993,200,exact,exact,exact,exact,exact,yes,
9786,193128,200,exact,exact,exact,exact,exact,yes,
3812,23-1201,200,exact,exact,exact,exact,exact,yes,
2916,23-0397,200,exact,exact,exact,exact,exact,yes,
23344,206621,200,exact,exact,exact,exact,exact,yes,
22042,205322,200,exact,exact,exact,exact,exact,yes,
12079,195425,200,exact,exact,exact,exact,exact,yes,
19468,202713,200,exact,exact,exact,exact,exact,yes,
11700,194980,200,exact,exact,exact,exact,exact,yes,
21379,204603,200,exact,exact,exact,exact,exact,yes,
20156,203398,200,exact,exact,exact,exact,exact,yes,
9336,192627,200,exact,exact,exact,exact,exact,yes,
22327,205452,200,exact,exact,exact,exact,exact,yes,
28178,211512,200,exact,exact,exact,exact,exact,yes,
14335,197617,200,exact,exact,exact,exact,exact,yes,
31931,25-0348,200,exact,exact,exact,exact,exact,yes,
8170,191444,200,exact,exact,exact,exact,exact,yes,
18165,201454,200,exact,exact,exact,exact,exact,yes,
6904,190212,200,exact,exact,exact,exact,exact,yes,
11626,194916,200,exact,exact,exact,exact,exact,yes,
30388,213802,200,exact,exact,exact,exact,exact,yes,
22298,205576,200,exact,exact,exact,exact,exact,yes,
1595,22-0310,200,exact,exact,exact,exact,exact,yes,
19764,203050,200,exact,exact,exact,exact,exact,yes,
15726,198945,200,exact,exact,exact,exact,exact,yes,
6200,189415,200,exact,exact,exact,exact,exact,yes,
6940,190249,200,exact,exact,exact,exact,exact,yes,
30240,213648,200,exact,exact,exact,exact,exact,yes,
9776,193118,200,exact,exact,exact,exact,exact,yes,
3366,23-0822,200,exact,exact,exact,exact,exact,yes,
25200,208520,200,exact,exact,exact,exact,exact,yes,
25761,209045,200,exact,exact,exact,exact,exact,yes,
9915,193275,200,exact,exact,exact,exact,exact,yes,
10140,193428,200,exact,exact,exact,exact,exact,none,
32046,25-0453,200,exact,exact,exact,exact,exact,none,
21437,204724,200,exact,exact,exact,exact,exact,none,
20903,204190,200,exact,exact,exact,exact,exact,none,
17518,200826,200,exact,exact,exact,exact,exact,none,
8769,192062,200,exact,exact,exact,exact,exact,yes,
13132,196413,200,exact,exact,exact,exact,exact,yes,
4090,23-1459,200,exact,exact,exact,exact,exact,none,
12646,195944,200,exact,exact,exact,exact,exact,yes,
21629,204881,200,exact,exact,exact,exact,exact,yes,
22521,205844,200,exact,exact,exact,exact,exact,yes,
18908,202174,200,exact,exact,exact,exact,exact,yes,
20286,203561,200,exact,exact,exact,exact,exact,yes,
8704,192016,200,exact,exact,exact,exact,exact,yes,
14173,197510,200,exact,exact,exact,exact,exact,yes,
13557,196812,200,exact,exact,exact,exact,exact,yes,
12690,195912,200,exact,exact,exact,exact,exact,yes,
11937,195222,200,exact,exact,exact,exact,exact,yes,
26198,209532,200,exact,exact,exact,exact,exact,yes,
3217,23-0680,200,exact,exact,exact,exact,exact,yes,
14345,197627,200,exact,exact,exact,exact,exact,yes,
21855,205142,200,exact,exact,exact,exact,exact,yes,
27414,210696,200,exact,exact,exact,exact,exact,yes,
21117,204392,200,exact,exact,exact,exact,exact,yes,
11109,194398,200,exact,exact,exact,exact,exact,yes,
1494,22-0277,200,exact,exact,exact,exact,exact,yes,
17644,200873,200,exact,exact,exact,exact,exact,yes,
11035,194311,200,exact,exact,exact,exact,exact,yes,
26288,209599,200,exact,exact,exact,exact,exact,yes,
26960,210262,200,exact,exact,exact,exact,exact,yes,
2567,23-0108,200,exact,exact,exact,exact,exact,yes,
26599,209804,200,exact,exact,exact,exact,exact,yes,
11559,194880,200,exact,exact,exact,exact,exact,yes,
10143,193432,200,exact,exact,exact,exact,exact,yes,
33853,26-0294,200,exact,exact,exact,exact,exact,yes,
21486,204771,200,exact,exact,exact,exact,exact,yes,
10754,194049,200,exact,exact,exact,exact,exact,yes,
3015,23-0490,200,exact,exact,exact,exact,exact,yes,
2840,23-0334,200,exact,exact,exact,exact,exact,yes,
8831,192120,200,exact,exact,exact,exact,exact,yes,
3343,23-0806,200,exact,exact,exact,exact,exact,yes,
27346,210616,200,exact,exact,exact,exact,exact,yes,
23113,206506,200,exact,exact,exact,exact,exact,yes,
15802,199062,200,exact,exact,exact,exact,exact,yes,
15166,198458,200,exact,exact,exact,exact,exact,yes,
19396,202672,200,exact,exact,exact,exact,exact,yes,
9737,193100,200,exact,exact,exact,exact,exact,yes,
10607,193912,200,exact,exact,exact,exact,exact,yes,
10157,193523,200,exact,exact,exact,exact,exact,yes,
8685,191978,200,exact,exact,exact,exact,exact,yes,
24227,207551,200,exact,exact,exact,exact,exact,yes,
9467,192764,200,exact,exact,exact,exact,exact,yes,
10481,193793,200,exact,exact,exact,exact,exact,yes,
15140,198416,200,exact,exact,exact,exact,exact,yes,
14739,197955,200,exact,exact,exact,exact,exact,yes,
9239,192529,200,exact,exact,exact,exact,exact,yes,
8829,192142,200,exact,exact,exact,exact,exact,yes,
28300,211584,200,exact,exact,exact,exact,exact,yes,
16399,199758,200,exact,exact,exact,exact,exact,yes,
18158,201460,200,exact,exact,exact,exact,exact,yes,
15674,199003,200,exact,exact,exact,exact,exact,yes,
31354,24-1596,200,exact,exact,exact,exact,exact,yes,
7634,190936,200,exact,exact,exact,exact,exact,yes,
28108,211384,200,exact,exact,exact,exact,exact,yes,
14722,197965,200,exact,exact,exact,exact,exact,yes,
18885,202163,200,exact,exact,exact,exact,exact,yes,
18809,202092,200,exact,exact,exact,exact,exact,yes,
16701,199975,200,exact,exact,exact,exact,exact,yes,
